Time Stamp,Accel x,Accel y,Accel z,Gyro x,Gyro y,Gyro z,Yaw (Deg),Pitch (Deg),Roll (Deg)
463707292,-1219,0126,-1586,0037,0007,0025,089.4111,052.2342,006.0391
463713057,-1203,0128,-1557,0034,0004,0031,089.4854,052.3122,005.8832
463718821,-1217,0119,-1544,0035,0006,0033,089.3605,052.1316,006.0961
463724541,-1205,0107,-1589,0038,-0001,0032,089.5617,051.5700,005.5417
463730294,-1204,0107,-1595,0033,-0001,0030,089.9261,052.8906,005.0010
463735975,-1207,0132,-1585,0035,-0005,0025,089.8735,052.8284,005.0883
463741697,-1192,0126,-1582,0035,-0004,0020,089.2416,052.4979,006.3938
463747409,-1204,0113,-1596,0033,-0008,0012,089.4669,052.8815,005.9854
463753143,-1217,0111,-1613,0033,-0010,0008,089.7878,052.8325,005.2648
463758893,-1207,0119,-1583,0031,-0011,0008,089.8178,052.8423,005.1984
463764659,-1225,0126,-1593,0031,-0010,0007,089.5634,052.4881,005.6846
463770406,-1223,0119,-1587,0030,-0006,0007,089.4456,052.2575,005.8934
463776077,-1228,0128,-1605,0030,-0006,0009,089.6244,052.2395,005.5095
463781730,-1231,0138,-1585,0026,-0003,0014,089.4150,052.4444,006.0028
463787515,-1242,0136,-1589,0025,0000,0017,089.1492,051.9181,006.4544
463793139,-1245,0122,-1605,0020,0006,0017,089.2470,051.8061,006.2306
463798840,-1257,0141,-1593,0024,0010,0017,089.6143,052.0945,005.5214
463804603,-1233,0118,-1568,0019,0012,0020,089.0741,051.4769,006.5164
463810373,-1257,0126,-1603,0022,0017,0020,089.6858,051.7245,005.3105
463816137,-1233,0127,-1594,0027,0011,0016,089.4630,051.7600,005.7782
463821967,-1239,0124,-1575,0026,0017,0016,089.4492,052.1887,005.8989
463827811,-1241,0136,-1605,0030,0018,0013,089.4921,051.5879,005.6849
463833600,-1233,0111,-1590,0029,0018,0012,089.2467,052.1993,006.3356
463839432,-1221,0130,-1589,0029,0017,0014,089.8838,052.0774,004.9581
