Time Stamp,Accel x,Accel y,Accel z,Gyro x,Gyro y,Gyro z,Yaw (Deg),Pitch (Deg),Roll (Deg)
319435885,-1782,-0314,-0888,0015,0015,0027,091.1857,026.2106,-010.1148
319441733,-1784,-0313,-0882,0016,0011,0026,091.0021,026.1314,-009.9656
319447563,-1797,-0290,-0873,0015,0008,0022,091.0972,025.9397,-009.9419
319453286,-1812,-0295,-0872,0014,0008,0021,089.9111,025.5830,-009.0610
319459046,-1773,-0306,-0875,0009,0006,0016,090.3925,025.3848,-009.2655
319464721,-1766,-0277,-0865,0004,0002,0009,090.9306,026.0121,-009.8627
319470339,-1765,-0290,-0868,-0002,0004,0007,089.3855,025.8044,-008.8189
319475932,-1762,-0290,-0870,0008,0005,-0001,090.2583,025.8953,-009.3830
319481557,-1765,-0283,-0898,0008,0007,-0001,090.1399,025.9853,-009.3433
319487180,-1760,-0273,-0873,0014,0007,-0004,089.2224,026.7641,-009.0817
319492864,-1729,-0276,-0873,0019,0007,-0005,089.2243,026.0462,-008.7945
319498561,-1739,-0277,-0887,0021,0009,0001,089.3971,026.5345,-009.0915
319504225,-1757,-0279,-0894,0020,0008,0003,089.1962,026.7537,-009.0484
319509829,-1751,-0304,-0869,0017,0012,0009,089.2040,026.6761,-009.0189
319515548,-1760,-0307,-0892,0016,0010,0006,091.1165,025.9955,-009.9344
319521249,-1754,-0289,-0870,0013,0007,0010,090.6180,026.6084,-009.8866
319526979,-1740,-0306,-0866,0005,0004,0003,090.0896,026.0226,-009.2997
319532586,-1753,-0290,-0888,0003,0008,0002,091.1801,026.1216,-010.0199
319538258,-1779,-0290,-0886,0002,0006,0002,089.7565,026.6052,-009.3204
319543821,-1771,-0294,-0884,0004,0009,0002,089.9637,026.1342,-009.2510
319549418,-1770,-0291,-0874,0006,0006,0002,090.2217,026.2276,-009.4458
319555027,-1764,-0285,-0850,0005,0003,0005,090.2166,025.9498,-009.3219
319560617,-1771,-0271,-0882,0007,0002,0005,090.3415,025.3997,-009.1647
319566210,-1770,-0282,-0861,0012,-0001,0014,088.8857,026.3057,-008.6395
319571909,-1757,-0275,-0880,0011,-0004,0011,090.1157,025.5812,-009.0962
319577623,-1747,-0312,-0880,0012,-0005,0013,089.1998,026.4151,-008.8666
319583370,-1767,-0304,-0881,0009,-0005,0016,091.4553,026.3673,-010.2695
319589115,-1770,-0296,-0883,0011,-0007,0013,090.6986,026.1357,-009.6852
319594878,-1762,-0323,-0875,0011,-0001,0015,090.2921,026.2070,-009.4593
319600571,-1777,-0285,-0873,0010,-0002,0009,092.0870,026.0089,-010.5040
319606261,-1763,-0301,-0882,0007,0001,0001,089.6631,025.8580,-008.9261
319611831,-1799,-0316,-0875,0006,0002,0002,090.7422,026.2927,-009.7716
319617414,-1785,-0275,-0900,0011,0005,0001,091.6214,025.5299,-009.9815
319623052,-1811,-0310,-0864,0012,0005,0001,088.6876,026.6058,-008.6074
319628707,-1804,-0300,-0906,0014,0005,-0003,091.7574,025.0376,-009.8297
319634327,-1803,-0287,-0902,0015,0003,-0003,090.0381,026.4991,-009.4015
319639961,-1796,-0284,-0868,0017,0005,-0002,089.5679,026.2709,-009.0105
319645618,-1798,-0287,-0855,0016,0006,-0008,090.0952,025.4313,-008.9879
319651305,-1788,-0287,-0881,0019,0014,0000,090.4714,025.1219,-009.0823
319656947,-1781,-0278,-0869,0023,0014,-0002,089.9144,026.0513,-009.1281
319662644,-1772,-0263,-0887,0028,0014,0005,089.6738,025.6990,-008.8397
319668354,-1761,-0285,-0892,0026,0015,0011,088.4600,026.4389,-008.3838
319674126,-1750,-0268,-0899,0025,0019,0020,089.8495,026.5901,-009.3089
319679830,-1749,-0267,-0873,0026,0017,0021,088.5483,026.9646,-008.6314
319685631,-1765,-0296,-0873,0031,0019,0024,089.0985,026.1924,-008.6805
319691397,-1757,-0282,-0872,0029,0012,0019,090.7806,025.9792,-009.6332
319697186,-1750,-0287,-0864,0024,0011,0017,089.7392,026.1243,-009.0501
319702937,-1758,-0307,-0872,0020,0011,0014,090.3145,025.9627,-009.3379
319708711,-1729,-0295,-0883,0023,0009,0015,091.2767,026.0530,-009.9788
319714429,-1755,-0303,-0880,0025,0006,0015,090.2683,026.7801,-009.6544
319720100,-1777,-0292,-0888,0023,0000,0013,090.8713,026.2405,-009.8086
319725707,-1748,-0288,-0869,0025,-0004,0009,090.0190,026.2454,-009.2761
319731340,-1764,-0297,-0874,0027,-0005,0008,090.2450,026.1155,-009.3630
319737036,-1770,-0293,-0899,0024,0000,0007,090.6555,026.0281,-009.5816
319742592,-1785,-0269,-0864,0021,-0002,0001,089.9060,026.6783,-009.3810
319748239,-1772,-0289,-0894,0024,0000,0001,089.2380,025.4457,-008.4787
319753781,-1772,-0282,-0894,0022,0008,0002,089.9337,026.5898,-009.3567
319759489,-1750,-0298,-0863,0021,0009,-0001,089.4516,026.4718,-009.0026
319765136,-1762,-0300,-0886,0027,0008,-0002,091.0032,025.8821,-009.7231
319770784,-1784,-0287,-0874,0027,0012,-0005,090.5260,026.4310,-009.6612
319776534,-1779,-0301,-0873,0030,0015,-0006,090.0513,025.7300,-009.0742
319782199,-1776,-0311,-0881,0032,0014,-0008,090.9698,025.8346,-009.6819
319787923,-1782,-0307,-0868,0026,0015,-0005,091.2669,026.0745,-009.9748
319793645,-1792,-0303,-0870,0026,0011,-0004,091.2566,025.5849,-009.7532
319799394,-1796,-0302,-0847,0027,0010,-0001,090.9725,025.5812,-009.5797
319805129,-1788,-0314,-0869,0028,0003,0000,091.4397,024.8534,-009.5445
319810697,-1771,-0301,-0870,0025,0000,0005,091.6084,025.6603,-010.0095
319816252,-1758,-0288,-0856,0018,-0001,0007,090.8163,025.8580,-009.6070
319821925,-1761,-0279,-0874,0016,-0001,0011,090.4202,025.6449,-009.2731
319827648,-1770,-0283,-0906,0019,0002,0015,089.5679,026.1708,-008.9655
319833375,-1775,-0270,-0861,0020,0000,0016,089.3152,026.9067,-009.0975
319838946,-1765,-0267,-0882,0025,0001,0020,089.4126,025.5054,-008.6059
319844592,-1754,-0267,-0899,0028,0001,0018,088.8407,026.3872,-008.5986
319850325,-1766,-0286,-0886,0026,0009,0017,088.6092,026.9370,-008.6599
319856080,-1786,-0281,-0920,0026,0010,0018,090.0047,026.2654,-009.2713
319861845,-1776,-0267,-0897,0027,0015,0019,088.8931,027.0731,-008.8909
319867605,-1764,-0292,-0899,0029,0016,0014,088.6407,026.4683,-008.5006
319873456,-1773,-0293,-0896,0031,0013,0018,090.1450,026.7343,-009.5534
319879264,-1769,-0297,-0865,0033,0013,0017,090.0051,026.4671,-009.3563
319885071,-1786,-0310,-0886,0032,0015,0020,090.8718,025.6464,-009.5522
319890836,-1759,-0313,-0869,0029,0020,0020,091.0763,026.1126,-009.8873
319896568,-1773,-0293,-0871,0026,0021,0016,091.5618,025.9223,-010.1126
319902452,-1760,-0314,-0876,0029,0015,0015,090.2303,025.8513,-009.2593
319908205,-1748,-0304,-0893,0032,0015,0016,091.5808,026.1425,-010.2342
319914063,-1750,-0284,-0882,0025,0010,0013,090.4556,026.8059,-009.8082
319919769,-1771,-0301,-0875,0033,0011,0015,089.6846,026.4148,-009.1567
319925512,-1765,-0310,-0874,0035,0013,0014,090.9157,025.9088,-009.7156
319931301,-1757,-0274,-0866,0036,0013,0019,091.2801,026.0150,-009.9967
319937123,-1752,-0299,-0889,0034,0015,0019,089.2473,025.9627,-008.7225
319942895,-1758,-0279,-0882,0041,0014,0022,090.5350,026.6612,-009.8188
319948696,-1757,-0265,-0865,0043,0015,0025,089.3089,026.3210,-008.9096
319954427,-1760,-0262,-0881,0045,0011,0022,088.9557,025.9211,-008.5421
319960214,-1735,-0278,-0886,0040,0011,0019,088.5156,026.3990,-008.4559
319965974,-1734,-0277,-0921,0043,0008,0016,089.4084,026.7949,-009.1699
319971703,-1751,-0264,-0875,0042,0010,0013,088.6455,027.7870,-009.0664
319977463,-1738,-0282,-0883,0039,0014,0013,088.7827,026.1551,-008.5291
319983267,-1758,-0300,-0881,0042,0016,0011,089.6757,026.6912,-009.2980
319989061,-1771,-0283,-0884,0043,0017,0014,090.6648,026.2373,-009.7390
319994839,-1765,-0302,-0863,0046,0020,0014,089.4376,026.2431,-008.9804
320000588,-1762,-0278,-0911,0048,0013,0016,091.1506,025.6683,-009.8029
320006410,-1783,-0291,-0853,0047,0015,0021,088.5189,027.2966,-008.8186
320012172,-1777,-0302,-0875,0051,0016,0023,090.8289,025.0114,-009.3274
320017928,-1787,-0268,-0913,0053,0010,0022,090.6963,026.0330,-009.6963
320023678,-1799,-0287,-0876,0053,0007,0024,088.0001,026.9120,-008.3645
320029401,-1802,-0299,-0889,0058,0006,0027,090.1416,025.5278,-009.1484
320035125,-1774,-0272,-0878,0062,0008,0029,090.3010,026.0054,-009.4561
320040851,-1782,-0268,-0883,0072,0009,0030,088.8649,026.0754,-008.6139
320046589,-1777,-0264,-0881,0073,0010,0035,088.7111,026.1081,-008.5430
320052395,-1773,-0269,-0903,0078,0016,0038,088.5019,026.1267,-008.4344
320058190,-1753,-0279,-0862,0079,0016,0035,088.4216,026.8246,-008.6588
320063956,-1776,-0294,-0908,0079,0022,0036,089.7266,025.8123,-009.0816
320069737,-1757,-0292,-0900,0071,0022,0037,089.5669,026.9188,-009.4482
320075471,-1787,-0313,-0872,0064,0028,0038,089.5993,026.7988,-009.4312
320081272,-1761,-0326,-0882,0059,0029,0038,091.3715,025.5162,-010.0021
320087119,-1784,-0342,-0909,0054,0020,0039,091.6372,026.3432,-010.5658
320092920,-1767,-0341,-0889,0054,0016,0039,091.9041,026.6209,-010.8879
320098777,-1781,-0342,-0894,0046,0013,0040,092.2145,026.2363,-010.9205
320104594,-1763,-0347,-0900,0049,0007,0038,092.0893,026.2410,-010.8557
320110375,-1762,-0341,-0899,0050,0012,0036,092.2352,026.6626,-011.1728
320116215,-1771,-0315,-0869,0056,0013,0034,091.8686,026.5990,-010.9139
